"","studyID","blockID","blockID.level2","northing_UTM","easting_UTM","LC.author.coarse","SR","Shannon","Exclude.AM.Shannon","Original.Abundance","Original.Abundance.No.AM","Abundance","Exclude.AM.Abundance","above.genus.prop","above.genus.no.AM","Ratio","abundanceMethod","block.n","subblock.n","X","SC","Est.SR","Est.Shannon","Exclude.AM.SC","Exclude.AM.Est.SR","Exclude.AM.Est.Shannon","LC.author","Lat","Long","ref_siteID","LC.point","Hist.LC.point","fert","Agr.1km","Hist.Agr.1km","Urb.1km","Hist.Urb.1km","Forest","Hist.Forest","Shrubland","Hist.Shrubland","Grassland","Hist.Grassland","biome.value","CHELSA_bio10_01","CHELSA_bio10_12","CHELSA_bio10_04","CHELSA_bio10_15","elevation_1KMmn_SRTM","elevation_1KMsd_SRTM","cell","CHELSA_bio10_02","CHELSA_bio10_07","CHELSA_bio10_06","LC.author.and.GIS","SamplingEffort","LC.GIS","PC1","PC2","Agr1","Urb1","study_LC","qPD.S","Covariate.Est.Shannon"
"42","Amad01","Amad01B1","Amad01Amad01B1SB1",-24.182793,-65.31387,"Urban",16,2.09575656063507,2.18430361770148,163,109,163,109,1,1,0.098159509202454,"Visitors (All)",1,1,35,0.988,16.6625766871166,8.56446617809205,0.9821,15.6605504587156,9.55677050363095,"designed urban green space",-24.182793,-65.31387,"Amad01UPSM",190,190,325.0552368,0,0,0.823529412,0.941176471,0,0,0.147058824,0.058823529,0,0,1,174,646,3792,96,1279.569946,12.1344595,5327249288,NA,NA,NA,"Urban",1,"Natural",-0.266967393578499,-2.49907324800932,0,1,"Amad01_Urban",2.6641325051276,0.980311156982554
"39","Amad01","Amad01B1","Amad01Amad01B1SB1",-24.260749,-65.209338,"Urban",19,1.80581753141662,1.62860303537183,320,260,320,260,1,1,0.059375,"Visitors (All)",1,1,36,0.9875,22.9875,6.31658003531243,0.9847,21.9846153846154,5.32628016460386,"designed urban green space",-24.260749,-65.209338,"Amad01UPAL",190,190,333.5834351,0.277777778,0.111111111,0.722222222,0.888888889,0,0,0,0,0,0,7,180,830,3843,97,1128.130005,4.522510529,5330878125,NA,NA,NA,"Urban",0.333333333,"Natural",-0.453589057765191,-2.36138790961152,0,1,"Amad01_Urban",2.04619235845757,0.726424006778359
"41","Amad01","Amad01B1","Amad01Amad01B1SB1",-24.257625,-65.20765278,"Urban",16,1.12721095983455,2.51257580232351,159,37,159,37,1,1,0.10062893081761,"Visitors (All)",1,1,37,0.9625,21.9622641509434,3.32441691033644,0.8422,20.8378378378378,16.715405056403,"designed urban green space",-24.257625,-65.20765278,"Amad01UPAN",190,190,333.5834351,0.138888889,0.083333333,0.805555556,0.888888889,0,0,0.055555556,0.027777778,0,0,7,180,774,3847,97,1112.930054,4.025556087,5330748526,NA,NA,NA,"Urban",0.242424242,"Natural",-0.407014502827617,-2.41545657561841,0,1,"Amad01_Urban",4.52826970593535,1.22311690510623
"44","Amad01","Amad01B1","Amad01Amad01B1SB1",-24.16776944,-65.39159722,"Urban",15,1.72069558534528,2.13932935798517,181,87,181,87,1,1,0.0828729281767956,"Visitors (All)",1,1,38,0.978,18.9779005524862,5.90194453600195,0.9546,17.9540229885057,9.45977100634817,"designed urban green space",-24.16776944,-65.39159722,"Amad01UREY",10,10,324.5660706,0.342105263,0.289473684,0.105263158,0.157894737,0.184210526,0.184210526,0.289473684,0.289473684,0,0,1,166,732,3759,98,1440.819946,32.51749802,5326601260,NA,NA,NA,"Agriculture",0.333333333,"Urban",-0.24825681157311,-2.41104883527287,0,1,"Amad01_Urban",3.62423064266553,0.975880623517747
"45","Amad01","Amad01B1","Amad01Amad01B1SB1",-24.11975833,-65.40188056,"Urban",11,1.84911655261933,1.95133184453511,58,35,58,35,1,1,0.189655172413793,"Visitors (All)",1,1,39,0.9316,18.8620689655172,7.43442045879105,0.8874,17.7714285714286,8.99442403070877,"designed urban green space",-24.11975833,-65.40188056,"Amad01UYAL",10,10,299.0128174,0.305555556,0.305555556,0,0,0.361111111,0.361111111,0.166666667,0.166666667,0,0,1,165,585,3750,95,1475.51001,35.79985809,5324398056,NA,NA,NA,"Agriculture",0.333333333,"Urban",-0.151684085948299,-2.49804625344764,0,1,"Amad01_Urban",2.89045104836475,0.95397335797687
"50","Arm01","Arm01B2","Arm01Arm01B2SB1",14.60962,-91.1298,"Natural",66,2.99854646419098,3.07085999768469,1150,951,1143,944,0.993913043478261,0.992639327024185,0.057742782152231,"Visitors (All)",1,1,40,0.9825,132.608340624089,21.1207412593448,0.9788,131.59604519774,22.9412803436638,"natural habitat",14.60962,-91.1298,"Arm01Farm.2.Early",50,50,1061.760498,0,0,0,0,1,1,0,0,0,0,1,178,2684,838,83,1604.949951,120.6839142,3517375994,NA,NA,NA,"Natural",1,"Natural",-2.29731089403092,-1.22544437190665,0,0,"Arm01_Natural",4.95802223573503,1.36061765204265
"49","Arm01","Arm01B2","Arm01Arm01B2SB1",14.60894,-91.1336,"Agriculture",13,1.48035726685192,1.78828535823928,160,71,160,71,1,1,0.08125,"Visitors (All)",1,1,41,0.9626,30.8875,4.78107852206389,0.9159,29.7464788732394,7.17745799518372,"crop",14.60894,-91.1336,"Arm01Farm.2.Coffee",50,50,1061.760498,0,0,0,0,1,1,0,0,0,0,3,186,2599,838,83,1541.209961,43.42287445,3517375992,NA,NA,NA,"Agriculture",1,"Natural",-2.33115180177013,-1.31837066508142,1,0,"Arm01_Agriculture",2.5513227366255,0.855970659543562
"48","Arm01","Arm01B1","Arm01Arm01B1SB1",14.56137,-91.1264,"Natural",34,2.59493317711512,2.63541428334177,223,176,223,176,1,1,0.152466367713004,"Visitors (All)",1,1,42,0.9284,65.8565022421525,15.5225187677515,0.9093,64.8181818181818,16.7639832572723,"natural habitat",14.56137,-91.1264,"Arm01Farm.1.Late",50,50,1061.566406,0,0,0,0,1,1,0,0,0,0,3,211,2725,820,84,1101.150024,36.23406601,3519579195,NA,NA,NA,"Natural",1,"Natural",-2.60215366398743,-1.42347024099193,0,0,"Arm01_Natural",3.47619484754915,1.2243772184182
"51","Arm01","Arm01B2","Arm01Arm01B2SB1",14.61506,-91.14004,"Natural",21,1.90733351281767,2.70685611185351,131,59,131,59,1,1,0.16030534351145,"Visitors (All)",1,1,43,0.9394,28.9389312977099,7.59129185999786,0.8667,27.864406779661,19.3689302791617,"natural habitat",14.61506,-91.14004,"Arm01Farm.2.Late",50,50,1061.760498,0,0,0,0,1,1,0,0,0,0,3,186,2599,838,83,1541.209961,43.42287445,3517116790,NA,NA,NA,"Natural",1,"Natural",-2.33115180177013,-1.31837066508142,0,0,"Arm01_Natural",4.80235494996086,1.28710563586181
"47","Arm01","Arm01B1","Arm01Arm01B1SB1",14.56043,-91.1293,"Natural",46,2.40465037225832,2.62502337247121,741,502,738,499,0.995951417004049,0.99402390438247,0.0623306233062331,"Visitors (All)",1,1,44,0.9743,82.0510840108401,11.7140908848081,0.962,81.0276553106212,14.9849058314819,"natural habitat",14.56043,-91.1293,"Arm01Farm.1.Early",50,50,1061.566406,0,0,0,0,1,1,0,0,0,0,3,211,2725,820,84,1101.150024,36.23406601,3519708794,NA,NA,NA,"Natural",1,"Natural",-2.60215366398743,-1.42347024099193,0,0,"Arm01_Natural",3.01500153434999,1.17565401808605
"54","Arm01","Arm01B3","Arm01Arm01B3SB1",14.61084,-91.1418,"Natural",19,1.6012971319353,2.49842010424853,134,51,133,50,0.992537313432836,0.980392156862745,0.142857142857143,"Visitors (All)",1,1,45,0.9327,32.3984962406015,5.63104340246206,0.8224,31.23,16.8679672052641,"natural habitat",14.61084,-91.1418,"Arm01Farm.3.Late",50,50,1061.760498,0,0,0,0,1,1,0,0,0,0,3,186,2599,838,83,1620.069946,34.78282928,3517375989,NA,NA,NA,"Natural",1,"Natural",-2.33115180177013,-1.31837066508142,0,0,"Arm01_Natural",4.90008315456371,1.22706274798744
"46","Arm01","Arm01B1","Arm01Arm01B1SB1",14.56079,-91.1266,"Agriculture",24,2.24191615126466,2.13456829983544,332,287,331,286,0.996987951807229,0.996515679442509,0.0725075528700906,"Visitors (All)",1,1,46,0.9759,34.6344410876133,9.94062404244134,0.9721,33.6293706293706,8.99016766313075,"crop",14.56079,-91.1266,"Arm01Farm.1.Coffee",50,50,1061.566406,0,0,0,0,1,1,0,0,0,0,3,211,2725,820,84,1101.150024,36.23406601,3519708795,NA,NA,NA,"Agriculture",1,"Natural",-2.60215366398743,-1.42347024099193,1,0,"Arm01_Agriculture",3.16331531708953,0.953767791231951
"52","Arm01","Arm01B3","Arm01Arm01B3SB1",14.60986,-91.1423,"Agriculture",23,1.21288488451175,2.57554528348608,413,104,413,104,1,1,0.0556900726392252,"Visitors (All)",1,1,47,0.9807,30.9806295399516,3.50190321423194,0.9238,29.9230769230769,15.349513516861,"crop",14.60986,-91.1423,"Arm01Farm.3.Coffee",50,50,1061.760498,0,0,0,0,1,1,0,0,0,0,3,182,2695,837,82,1620.069946,34.78282928,3517375989,NA,NA,NA,"Agriculture",1,"Natural",-2.35297754087984,-1.2209598272751,1,0,"Arm01_Agriculture",4.64752424780309,1.18609461562488
"53","Arm01","Arm01B3","Arm01Arm01B3SB1",14.61003,-91.1421,"Natural",24,1.24382520429749,2.75019296834218,318,79,318,79,1,1,0.0754716981132075,"Visitors (All)",1,1,48,0.975,29.3165618448637,3.64893984751081,0.9006,28.2658227848101,19.0549960212597,"natural habitat",14.61003,-91.1421,"Arm01Farm.3.Early",50,50,1061.760498,0,0,0,0,1,1,0,0,0,0,3,182,2695,837,82,1620.069946,34.78282928,3517375989,NA,NA,NA,"Natural",1,"Natural",-2.35297754087984,-1.2209598272751,0,0,"Arm01_Natural",3.81292624602624,1.28000886242621
"55","Avil01","Avil01B1","Avil01Avil01B1SB1",2193394,540414,"Agriculture",14,2.07550151866771,1.94407623499078,155,132,155,132,1,1,0.0903225806451613,"Abundance",1,1,49,0.9678,23.9354838709677,8.58625026188054,0.9623,22.9242424242424,7.59822091631104,"crop",19.8361317324624,-98.6140522693101,"Avil01C1",11,11,1044.048828,0.84375,0.84375,0,0,0.0625,0.0625,0.09375,0.09375,0,0,13,139,469,2017,73,2495.73999,27.63027954,3273466099,NA,NA,NA,"Agriculture",1,"Urban",-0.461591524225008,-2.25812252414626,1,0,"Avil01_Agriculture",3.40219505141174,0.880711916402181
"56","Avil01","Avil01B1","Avil01Avil01B1SB1",2209841,550781,"Agriculture",14,1.75684362289501,1.5933082680061,197,178,197,178,1,1,0.0710659898477157,"Abundance",1,1,50,0.9798,19.9695431472081,6.09661768147539,0.9776,18.9662921348315,5.19030717980904,"crop",19.9845126891413,-98.514598185501,"Avil01C2",11,11,1135.856934,0.972222222,0.972222222,0,0,0,0,0.027777778,0.027777778,0,0,3,128,576,2112,74,2610.290039,17.332798,3266597335,NA,NA,NA,"Agriculture",1,"Urban",-0.437647173714913,-2.07143498569189,1,0,"Avil01_Agriculture",2.78209426675214,0.715193061614974
"57","Avil01","Avil01B1","Avil01Avil01B1SB1",2232409,506377,"Agriculture",29,2.02175538670314,1.96825242701617,632,621,632,621,1,1,0.0458860759493671,"Abundance",1,1,51,0.9874,35.3898734177215,7.78253683375586,0.9871,34.389694041868,7.37499778108632,"crop",20.1891044208925,-98.9389642538289,"Avil01C3",11,11,1138.595459,0.875,0.875,0,0,0,0,0.125,0.125,0,0,13,154,511,2214,75,2135.649902,36.65197754,3257006782,NA,NA,NA,"Agriculture",1,"Urban",-0.57283100437325,-2.30868339127321,1,0,"Avil01_Agriculture",3.47859980527505,0.867761893984151
"58","Avil01","Avil01B1","Avil01Avil01B1SB1",2232840,506474,"Agriculture",28,2.02310836852782,1.97961525574107,541,534,541,534,1,1,0.0517560073937153,"Abundance",1,1,52,0.9889,32.4916820702403,7.80679429293064,0.9888,31.4915730337079,7.47049029419262,"crop",20.192998822385,-98.9380343048646,"Avil01C4",11,11,1138.595459,0.918918919,0.918918919,0,0,0,0,0.081081081,0.081081081,0,0,13,158,497,2220,75,2083.209961,11.72202587,3256877183,NA,NA,NA,"Agriculture",1,"Urban",-0.593272174988923,-2.34860486465213,1,0,"Avil01_Agriculture",3.4072032961279,0.873349105841471
"59","Avil01","Avil01B1","Avil01Avil01B1SB1",2216227,541247,"Agriculture",17,2.04349219596146,1.98271087322423,235,230,235,230,1,1,0.0723404255319149,"Abundance",1,1,53,0.9831,20.9829787234043,8.0843472942401,0.9827,19.9826086956522,7.59819972298195,"crop",20.0424455566804,-98.6055854946548,"Avil01C5",130,130,1069.966064,0.636363636,0.636363636,0,0,0,0,0,0,0.363636364,0.363636364,13,130,494,2140,74,2572.76001,15.26900101,3263875702,NA,NA,NA,"Agriculture",1,"Natural",-0.368014002227703,-2.17703307465285,1,0,"Avil01_Agriculture",3.70837900622947,0.8807107050451
"60","Avil01","Avil01B1","Avil01Avil01B1SB1",2203064,533190,"Agriculture",17,2.03483540505259,1.92528903575228,329,310,329,310,1,1,0.0516717325227964,"Abundance",1,1,54,0.9848,23.2310030395137,7.93528456067085,0.9839,22.2298387096774,7.11624987077239,"crop",19.9236522267725,-98.682865712692,"Avil01C6",11,11,1205.516724,0.805555556,0.777777778,0.138888889,0.166666667,0,0,0.027777778,0.027777778,0.027777778,0.027777778,13,142,473,2063,74,2419.27002,18.09411812,3269448475,NA,NA,NA,"Agriculture",1,"Urban",-0.469317874612488,-2.28604448989211,1,0,"Avil01_Agriculture",3.4078658803037,0.852251188933029
"61","Avil01","Avil01B1","Avil01Avil01B1SB1",2212130,529677,"Agriculture",15,1.93105716810111,1.83045440795881,202,193,202,193,1,1,0.0742574257425743,"Abundance",1,1,55,0.9753,21.2190594059406,7.28232962605424,0.9742,20.2176165803109,6.58466803668323,"crop",20.0056348702473,-98.7162860462891,"Avil01C7",11,11,1139.142212,0.794117647,0.794117647,0,0,0,0,0,0,0.205882353,0.205882353,13,145,462,2110,75,2345.040039,1.561537743,3265560463,NA,NA,NA,"Agriculture",1,"Urban",-0.460802275583726,-2.33297562857889,1,0,"Avil01_Agriculture",3.2756527327661,0.818533885072937
"62","Avil01","Avil01B1","Avil01Avil01B1SB1",2209566,550647,"Agriculture",22,2.44934558140444,2.42724191549487,114,92,114,92,1,1,0.192982456140351,"Abundance",1,1,56,0.8949,93.3684210526316,15.2016597276556,0.8698,92.2173913043478,15.7802419221926,"crop",19.982031185732,-98.5158866112398,"Avil01C8",11,11,1135.856934,0.972972973,0.972972973,0,0,0,0,0.027027027,0.027027027,0,0,3,127,549,2105,73,2620.719971,13.72448921,3266726935,NA,NA,NA,"Agriculture",1,"Urban",-0.418153769094588,-2.0757145949184,1,0,"Avil01_Agriculture",4.29661449047078,1.19811365696389
"63","Avil01","Avil01B1","Avil01Avil01B1SB1",2206618,548192,"Natural",20,2.00185230732758,1.93717107574355,175,171,175,171,1,1,0.114285714285714,"Abundance",1,1,57,0.9547,25.3028571428571,8.01827332295832,0.9536,24.3021442495127,7.50720674475792,"natural habitat",19.9554543033479,-98.5394296988654,"Avil01N1",11,11,1135.856934,1,1,0,0,0,0,0,0,0,0,13,129,503,2090,73,2619.77002,6.774739742,3268022926,NA,NA,NA,"Agriculture",1,"Urban",-0.392708804233089,-2.14528267378747,0,0,"Avil01_Natural",3.535959481682,0.875478376286148
"64","Avil01","Avil01B1","Avil01Avil01B1SB1",2225397,521028,"Natural",23,2.16253492882148,2.11773884900422,348,343,348,343,1,1,0.0660919540229885,"Abundance",1,1,58,0.9771,33.6360153256705,9.14414007397358,0.9767,32.6355685131195,8.73683504361318,"natural habitat",20.1256360944192,-98.7988177633172,"Avil01N2",130,130,1138.723633,0,0,0,0.147058824,0.058823529,0.058823529,0.323529412,0.294117647,0.617647059,0.5,13,132,529,2173,71,2530.780029,35.73865509,3259987633,NA,NA,NA,"Natural",1,"Natural",-0.458837020704448,-2.07386105835561,0,0,"Avil01_Natural",2.96843059300652,0.94135413606373
"65","Avil01","Avil01B1","Avil01Avil01B1SB1",2221562,529693,"Natural",21,2.18773344670213,2.12138711052159,488,475,488,475,1,1,0.0430327868852459,"Abundance",1,1,59,0.9877,26.9877049180328,9.17933328935487,0.9874,25.9873684210526,8.58779178644234,"natural habitat",20.0908671541781,-98.7159798559992,"Avil01N3",120,120,1138.370483,0.027777778,0.027777778,0.611111111,0.638888889,0,0,0.111111111,0.083333333,0.25,0.25,13,138,500,2157,73,2437.149902,8.801562309,3261672463,NA,NA,NA,"Natural",1,"Natural",-0.45750648898309,-2.19181059388926,0,0,"Avil01_Natural",3.07600796437709,0.933881506293398
"66","Avil01","Avil01B1","Avil01Avil01B1SB1",2225061,522457,"Natural",17,1.77314299978155,1.7305121515763,263,260,263,260,1,1,0.064638783269962,"Abundance",1,1,60,0.9848,20.9847908745247,6.1391476452462,0.9847,19.9846153846154,5.87382127135516,"natural habitat",20.1225836997611,-98.7851502371685,"Avil01N4",120,120,1138.723633,0,0,0.285714286,0.428571429,0.085714286,0.085714286,0.371428571,0.342857143,0.257142857,0.142857143,13,139,525,2173,72,2433.959961,27.76469612,3260117238,NA,NA,NA,"Natural",1,"Natural",-0.503420636025629,-2.1423492363169,0,0,"Avil01_Natural",2.580837073747,0.768920727674503
"67","Avil01","Avil01B1","Avil01Avil01B1SB1",2221533,521259,"Natural",22,1.9263315374584,1.8697996498744,333,327,333,327,1,1,0.0660660660660661,"Abundance",1,1,61,0.9701,31.96996996997,7.23378886100846,0.9695,30.9694189602446,6.8320254053088,"natural habitat",20.0907164424077,-98.7966528226263,"Avil01N5",130,130,1138.723633,0,0,0,0.25,0,0,0.055555556,0,0.944444444,0.75,13,140,615,2154,76,2421.149902,14.4065094,3261672434,NA,NA,NA,"Natural",1,"Natural",-0.545548965905426,-2.13634272875129,0,0,"Avil01_Natural",3.20261679507979,0.834549472634829
"79","Baldi01","Baldi01B1","Baldi01Baldi01B1SB2",5202542.207,359707.0557,"Natural",3,0.801818552543337,0.801818552543337,10,10,10,10,1,1,0.3,"Abundance",1,1,63,0.9182,3.45,2.57990117202403,0.9182,3.45,2.57990117202403,"natural habitat",46.9615546910067,19.1559621509041,"Baldi01Baldi01_2",130,130,1149.559082,0.021276596,0.021276596,0,0,0,0,0,0,0.978723404,0.978723404,4,110,548,8025,26,93.48000336,1.682141542,2007964497,NA,NA,NA,"Natural",1,"Natural",0.225169410166031,-0.0173307517401918,0,0,"Baldi01_Natural",2.39395751913262,0.411603069813352
"104","Baldi01","Baldi01B1","Baldi01Baldi01B1SB2",5201680.693,360322.7318,"Natural",13,2.3894602821377,2.33319671428625,23,19,23,19,1,1,0.565217391304348,"Abundance",1,1,65,0.6599,28.304347826087,20.0629852394407,0.5903,27.1578947368421,20.9461653735227,"natural habitat",46.9539360784907,19.1643155631264,"Baldi01Baldi01_5",130,130,1149.559082,0.14,0.14,0,0,0,0,0,0,0.86,0.86,4,110,547,8025,26,93.51999664,1.315142632,2008353300,NA,NA,NA,"Natural",1,"Natural",0.226158766623772,-0.0185123926541115,0,0,"Baldi01_Natural",3.65977892995974,1.32110452803984
"105","Baldi01","Baldi01B1","Baldi01Baldi01B1SB6",5180229.197,361135.5012,"Natural",8,1.99150936135661,1.99150936135661,13,13,13,13,1,1,0.615384615384615,"Abundance",1,1,66,0.7265,10.4615384615385,11.3265091063065,0.7265,10.4615384615385,11.3265091063065,"natural habitat",46.7611627430666,19.181519352354,"Baldi01Baldi01_6",130,130,1156.019043,0.212765957,0.212765957,0,0,0.042553191,0.042553191,0,0,0.659574468,0.659574468,4,110,554,8019,26,91.87999725,1.07962954,2017295706,NA,NA,NA,"Natural",1,"Natural",0.21806600382829,-0.0111834710209467,0,0,"Baldi01_Natural",5.30134846410958,1.05409607848868
